week, date, day, number-1, number-2, number-3, number-4, number-5, euro-number-1, euro-number-2, jackpot, win-class-1-winners, win-class-1-euro, win-class-2-winners,win-class-2-euro, win-class-3-winners,win-class-3-euro, win-class-4-winners, win-class-4-euro, win-class-5-winners, win-class-5-euro, win-class-6-winners, win-class-6-euro, win-class-7-winners, win-class-7-euro, win-class-8-winners, win-class-8-euro, win-class-9-winners, win-class-9-euro, win-class-10-winners, win-class-10-euro, win-class-11-winners, win-class-11-euro, win-class-12-winners, win-class-12-euro
1.,06/01/,FR,14,27,7,23,35,3,5,"74,230,732.00  ",5  x   ,"18,000,000.00  ",35  x   ,"596,446.70  ",30  x   ,"37,115.30  ",237  x   ,"1,566.00  ","3,151  x   ",106.00  ,"4,098  x   ",63.30  ,"6,957  x   ",32.00  ,"76,087  x   ",15.10  ,"95,743  x   ",11.60  ,"137,185  x   ",11.60  ,"347,066  x   ",8.30  ,"1,102,845  x   ",6.40
2.,13/01/,FR,45,2,26,44,21,1,6,"34,159,190.00  ",0  x   ,unbesetzt,3  x   ,"483,921.80  ",5  x   ,"102,477.50  ",25  x   ,"6,831.80  ",431  x   ,356.60  ,895  x   ,133.50  ,"1,454  x   ",70.40  ,"22,324  x   ",23.70  ,"23,120  x   ",22.10  ,"42,966  x   ",17.00  ,"124,726  x   ",10.60  ,"354,957  x   ",9.10
3.,20/01/,FR,40,23,5,25,35,5,8,"32,706,936.00  ",0  x   ,unbesetzt,2  x   ,"695,022.30  ",3  x   ,"163,534.60  ",59  x   ,"2,771.70  ",576  x   ,255.50  ,875  x   ,130.80  ,"2,387  x   ",41.10  ,"31,659  x   ",16.10  ,"30,244  x   ",16.10  ,"45,093  x   ",15.50  ,"161,054  x   ",7.90  ,"407,246  x   ",7.60
4.,27/01/,FR,15,12,29,19,48,7,9,"34,068,330.00  ",0  x   ,unbesetzt,2  x   ,"723,952.00  ",3  x   ,"170,341.60  ",32  x   ,"5,323.10  ",639  x   ,239.90  ,"1,161  x   ",102.70  ,"1,676  x   ",60.90  ,"22,760  x   ",23.20  ,"31,135  x   ",16.40  ,"51,184  x   ",14.30  ,"116,447  x   ",11.40  ,"439,855  x   ",7.30
5.,03/02/,FR,39,47,5,17,4,3,4,"37,527,750.00  ",0  x   ,unbesetzt,4  x   ,"398,732.30  ",3  x   ,"187,638.70  ",47  x   ,"3,992.30  ",763  x   ,221.30  ,"1,122  x   ",117.00  ,"1,913  x   ",58.80  ,"27,765  x   ",20.90  ,"36,323  x   ",15.50  ,"51,577  x   ",15.50  ,"146,263  x   ",10.00  ,"513,826  x   ",6.90
6.,10/02/,FR,13,23,44,31,42,2,5,"40,116,976.00  ",2  x   ,"22,569,527.60  ",3  x   ,"568,323.80  ",3  x   ,"200,584.80  ",49  x   ,"4,093.50  ",860  x   ,209.90  ,"1,335  x   ",105.10  ,"2,362  x   ",50.90  ,"34,559  x   ",17.90  ,"34,983  x   ",17.20  ,"57,556  x   ",14.90  ,"182,068  x   ",8.50  ,"500,717  x   ",7.60
7.,17/02/,FR,40,49,19,7,18,5,6,"30,587,124.00  ",0  x   ,unbesetzt,6  x   ,"216,658.70  ",5  x   ,"91,761.30  ",37  x   ,"4,133.30  ",840  x   ,163.80  ,"1,127  x   ",94.90  ,"1,510  x   ",60.70  ,"22,010  x   ",21.50  ,"27,224  x   ",16.80  ,"45,114  x   ",14.50  ,"116,338  x   ",10.20  ,"387,514  x   ",7.50
8.,24/02/,FR,13,19,7,20,1,8,6,"30,968,216.00  ",0  x   ,unbesetzt,7  x   ,"188,021.30  ",21  x   ,"22,120.10  ",51  x   ,"3,036.00  ","1,161  x   ",120.00  ,"2,305  x   ",47.90  ,"1,890  x   ",47.90  ,"23,847  x   ",20.10  ,"34,068  x   ",13.60  ,"63,715  x   ",10.40  ,"117,450  x   ",10.20  ,"428,994  x   ",6.80
9.,03/03/,FR,7,3,16,18,25,10,2,"33,088,452.00  ",0  x   ,unbesetzt,3  x   ,"468,753.00  ",9  x   ,"55,147.40  ",35  x   ,"4,726.90  ",839  x   ,177.40  ,"1,735  x   ",66.70  ,"1,513  x   ",65.60  ,"20,408  x   ",25.10  ,"31,182  x   ",15.90  ,"68,910  x   ",11.60  ,"102,499  x   ",11.60  ,"404,390  x   ",7.80
10.,10/03/,FR,18,20,35,13,46,7,8,"35,011,784.00  ",0  x   ,unbesetzt,4  x   ,"372,000.20  ",3  x   ,"175,058.90  ",30  x   ,"5,835.20  ",605  x   ,260.40  ,936  x   ,130.90  ,"1,506  x   ",69.70  ,"22,357  x   ",24.20  ,"30,098  x   ",17.40  ,"45,333  x   ",16.60  ,"120,883  x   ",11.20  ,"442,520  x   ",7.50
11.,17/03/,FR,38,25,3,45,16,8,7,"37,698,802.00  ",0  x   ,unbesetzt,9  x   ,"178,022.10  ",6  x   ,"94,247.00  ",28  x   ,"6,731.90  ","1,070  x   ",158.50  ,"1,462  x   ",90.20  ,"1,627  x   ",69.50  ,"24,503  x   ",23.80  ,"37,192  x   ",15.20  ,"56,660  x   ",14.30  ,"129,491  x   ",11.30  ,"493,849  x   ",7.20
12.,24/03/,FR,25 ,30 ,44 ,36 ,26 ,3,9,"40,835,108.00  ",0  x   ,unbesetzt,3  x   ,"578,497.30  ",5  x   ,"122,505.30  ",38  x   ,"5,373.00  ",586  x   ,313.50  ,998  x   ,143.20  ,"2,007  x   ",61.00  ,"32,667  x   ",20.20  ,"28,781  x   ",20.20  ,"49,986  x   ",17.50  ,"185,186  x   ",8.50  ,"454,713  x   ",8.50
13.,31/03/,FR,44 ,14 ,8 ,40 ,34 ,1,7,"46,099,214.00  ",0  x   ,unbesetzt,4  x   ,"489,804.10  ",4  x   ,"172,872.00  ",45  x   ,"5,122.10  ",719  x   ,288.50  ,"1,249  x   ",129.10  ,"2,062  x   ",67.00  ,"30,541  x   ",23.30  ,"34,362  x   ",20.10  ,"62,480  x   ",15.80  ,"172,916  x   ",10.30  ,"516,931  x   ",8.50
14.,07/04/,FR,46 ,45 ,27 ,43 ,10 ,8,4,"52,914,060.00  ",0  x   ,unbesetzt,6  x   ,"374,807.90  ",8  x   ,"99,213.80  ",65  x   ,"4,070.30  ",828  x   ,287.50  ,"1,364  x   ",135.70  ,"2,906  x   ",54.60  ,"44,839  x   ",19.20  ,"39,181  x   ",19.20  ,"65,776  x   ",17.20  ,"253,400  x   ",8.30  ,"598,460  x   ",8.30
15.,14/04/,FR,49 ,6 ,46 ,22 ,33 ,1,5,"57,999,676.00  ",1  x   ,"86,970,702.80  ",3  x   ,"821,662.00  ",10  x   ,"86,999.50  ",56  x   ,"5,178.50  ","1,009  x   ",258.60  ,"1,958  x   ",103.60  ,"2,708  x   ",64.20  ,"39,240  x   ",22.90  ,"48,409  x   ",17.90  ,"85,379  x   ",14.60  ,"206,245  x   ",10.90  ,"668,674  x   ",8.20
16.,21/04/,FR,49 ,44 ,27 ,31 ,46 ,6,8,"30,337,086.00  ",0  x   ,unbesetzt,4  x   ,"322,331.50  ",3  x   ,"151,685.40  ",24  x   ,"6,320.20  ",465  x   ,293.50  ,753  x   ,141.00  ,"1,324  x   ",68.70  ,"19,705  x   ",23.80  ,"21,422  x   ",21.20  ,"36,168  x   ",18.00  ,"110,529  x   ",10.70  ,"331,983  x   ",8.70
17.,28/04/,FR,3 ,38 ,45 ,39 ,41 ,5,3,"32,104,618.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,3  x   ,"160,523.00  ",33  x   ,"4,864.30  ",444  x   ,325.30  ,704  x   ,159.60  ,"1,640  x   ",58.70  ,"26,095  x   ",19.70  ,"23,479  x   ",19.70  ,"36,627  x   ",18.80  ,"153,811  x   ",8.10  ,"373,448  x   ",8.10
18.,05/05/,FR,41 ,11 ,42 ,23 ,8 ,8,6,"32,598,480.00  ",0  x   ,unbesetzt,2  x   ,"1,374,940.80  ",1  x   ,"488,977.20  ",30  x   ,"5,433.00  ",637  x   ,230.20  ,"1,049  x   ",108.70  ,"1,625  x   ",60.10  ,"24,244  x   ",20.80  ,"28,311  x   ",17.20  ,"47,168  x   ",14.80  ,"126,364  x   ",10.00  ,"397,780  x   ",7.80
19.,12/05/,FR,31 ,14 ,7 ,46 ,35 ,2,1,"34,440,288.00  ",0  x   ,unbesetzt,2  x   ,"731,856.10  ",9  x   ,"57,400.40  ",36  x   ,"4,783.30  ",663  x   ,233.70  ,"1,081  x   ",111.50  ,"1,394  x   ",74.10  ,"20,090  x   ",26.50  ,"28,158  x   ",18.30  ,"52,004  x   ",14.20  ,"109,929  x   ",12.20  ,"395,666  x   ",8.30
20.,19/05/,FR,41 ,33 ,22 ,50 ,46 ,6,2,"36,454,476.00  ",0  x   ,unbesetzt,3  x   ,"516,438.40  ",4  x   ,"136,704.20  ",35  x   ,"5,207.70  ",586  x   ,279.90  ,"1,038  x   ",122.90  ,"1,694  x   ",64.50  ,"26,386  x   ",21.40  ,"26,633  x   ",20.50  ,"46,915  x   ",16.70  ,"147,145  x   ",9.60  ,"393,777  x   ",8.80
21.,26/05/,FR,11 ,13 ,3 ,23 ,15 ,1,9,"37,575,520.00  ",1  x   ,"50,270,035.20  ",7  x   ,"228,137.00  ",37  x   ,"15,233.30  ",34  x   ,"5,525.80  ",952  x   ,177.60  ,"2,027  x   ",64.80  ,"2,077  x   ",54.20  ,"25,241  x   ",23.00  ,"37,604  x   ",14.90  ,"79,479  x   ",11.20  ,"123,361  x   ",11.20  ,"457,728  x   ",7.80
22.,02/06/,FR,4 ,17 ,46 ,2 ,20 ,1,8,"28,700,340.00  ",0  x   ,unbesetzt,4  x   ,"304,941.10  ",3  x   ,"143,501.70  ",26  x   ,"5,519.20  ",496  x   ,260.30  ,962  x   ,104.40  ,"1,418  x   ",60.70  ,"19,710  x   ",22.50  ,"23,072  x   ",18.60  ,"43,044  x   ",14.30  ,"105,111  x   ",10.60  ,"329,736  x   ",8.30
23.,09/06/,FR,13 ,24 ,47 ,17 ,20 ,8,5,"29,026,944.00  ",0  x   ,unbesetzt,5  x   ,"246,729.00  ",4  x   ,"108,851.00  ",52  x   ,"2,791.00  ",579  x   ,225.50  ,"1,024  x   ",99.20  ,"1,973  x   ",44.10  ,"27,988  x   ",16.20  ,"26,511  x   ",16.20  ,"44,695  x   ",13.90  ,"139,980  x   ",8.00  ,"377,151  x   ",7.30
24.,16/06/,FR,31 ,24 ,38 ,1 ,25 ,7,1,"30,406,996.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,3  x   ,"152,034.90  ",29  x   ,"5,242.50  ",484  x   ,282.70  ,761  x   ,139.80  ,"1,470  x   ",62.00  ,"22,457  x   ",20.90  ,"23,046  x   ",19.70  ,"38,512  x   ",16.90  ,"119,867  x   ",9.80  ,"353,043  x   ",8.20
25.,23/06/,FR,6 ,14 ,27 ,35 ,19 ,2,4,"32,088,532.00  ",0  x   ,unbesetzt,5  x   ,"531,211.90  ",8  x   ,"60,165.90  ",74  x   ,"2,168.10  ",982  x   ,147.00  ,"1,468  x   ",76.50  ,"2,130  x   ",45.10  ,"27,228  x   ",18.20  ,"34,991  x   ",13.70  ,"55,555  x   ",12.40  ,"131,322  x   ",9.50  ,"443,683  x   ",6.90
26.,30/06/,FR,11 ,31 ,1 ,3 ,18 ,6,3,"35,222,884.00  ",0  x   ,unbesetzt,5  x   ,"299,394.50  ",3  x   ,"176,114.40  ",62  x   ,"2,840.50  ",979  x   ,161.90  ,"1,370  x   ",89.90  ,"2,652  x   ",39.80  ,"35,181  x   ",15.50  ,"35,030  x   ",15.00  ,"55,131  x   ",13.70  ,"181,195  x   ",7.50  ,"457,968  x   ",7.30
27.,07/07/,FR,15 ,17 ,30 ,16 ,23 ,9,6,"37,710,714.00  ",1  x   ,"46,505,018.60  ",2  x   ,"801,352.60  ",7  x   ,"80,808.60  ",35  x   ,"5,387.20  ",618  x   ,274.50  ,"1,195  x   ",110.40  ,"1,717  x   ",65.80  ,"24,274  x   ",24.00  ,"29,804  x   ",18.90  ,"57,691  x   ",14.00  ,"128,063  x   ",11.40  ,"434,928  x   ",8.20
28.,14/07/,FR,49 ,3 ,9 ,25 ,31 ,9,8,"28,996,288.00  ",0  x   ,unbesetzt,3  x   ,"410,780.70  ",10  x   ,"43,494.40  ",23  x   ,"6,303.50  ",695  x   ,187.70  ,"1,145  x   ",88.60  ,"1,065  x   ",81.60  ,"15,185  x   ",29.50  ,"26,137  x   ",16.60  ,"44,402  x   ",14.20  ,"78,965  x   ",14.20  ,"362,473  x   ",7.60
29.,21/07/,FR,27 ,36 ,38 ,35 ,48 ,2,3,"29,388,600.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,5  x   ,"88,165.80  ",28  x   ,"5,247.90  ",528  x   ,250.40  ,763  x   ,134.80  ,"1,270  x   ",69.40  ,"18,132  x   ",25.10  ,"24,492  x   ",17.90  ,"36,992  x   ",17.00  ,"96,725  x   ",11.80  ,"372,536  x   ",7.50
30.,28/07/,FR,40 ,45 ,26 ,14 ,18 ,1,5,"30,865,528.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,6  x   ,"77,163.80  ",36  x   ,"4,286.80  ",546  x   ,254.30  ,869  x   ,124.30  ,"1,356  x   ",68.20  ,"20,547  x   ",23.20  ,"23,358  x   ",19.80  ,"41,191  x   ",16.10  ,"113,707  x   ",10.50  ,"341,571  x   ",8.60
31.,04/08/,FR,39 ,44 ,46 ,47 ,18 ,4,6,"33,195,914.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,2  x   ,"248,969.30  ",29  x   ,"5,723.40  ",494  x   ,302.30  ,851  x   ,136.50  ,"1,694  x   ",58.70  ,"25,616  x   ",20.00  ,"24,874  x   ",20.00  ,"41,586  x   ",17.10  ,"142,830  x   ",9.00  ,"368,899  x   ",8.50
32.,11/08/,FR,40 ,21 ,13 ,23 ,14 ,1,3,"35,361,096.00  ",0  x   ,unbesetzt,2  x   ,"2,737,236.60  ",4  x   ,"132,604.10  ",40  x   ,"4,420.10  ",631  x   ,252.10  ,947  x   ,130.60  ,"1,842  x   ",57.50  ,"26,068  x   ",21.00  ,"29,748  x   ",17.80  ,"48,320  x   ",15.70  ,"132,459  x   ",10.40  ,"456,062  x   ",7.40
33.,18/08/,FR,32 ,4 ,20 ,34 ,1 ,6,3,"39,139,914.00  ",1  x   ,"47,357,065.00  ",4  x   ,"415,861.50  ",3  x   ,"195,699.50  ",41  x   ,"4,773.10  ",610  x   ,288.70  ,951  x   ,144.00  ,"1,957  x   ",59.90  ,"32,110  x   ",19.70  ,"28,438  x   ",19.70  ,"48,140  x   ",17.40  ,"184,642  x   ",8.30  ,"445,853  x   ",8.30
34.,25/08/,FR,28 ,20 ,45 ,41 ,11 ,9,5,"28,745,024.00  ",0  x   ,unbesetzt,3  x   ,"407,221.10  ",6  x   ,"71,862.50  ",40  x   ,"3,593.10  ",519  x   ,249.20  ,887  x   ,113.40  ,"1,388  x   ",62.10  ,"18,994  x   ",23.40  ,"20,895  x   ",20.60  ,"37,632  x   ",16.40  ,"102,942  x   ",10.80  ,"312,290  x   ",8.70
35.,01/09/,FR,19 ,3 ,9 ,4 ,28 ,7,1,"30,215,972.00  ",0  x   ,unbesetzt,2  x   ,"642,089.40  ",13  x   ,"34,864.50  ",51  x   ,"2,962.30  ",856  x   ,158.80  ,"1,632  x   ",64.80  ,"2,045  x   ",44.30  ,"26,324  x   ",17.70  ,"33,431  x   ",13.50  ,"59,509  x   ",10.90  ,"123,193  x   ",9.50  ,"423,785  x   ",6.80
36.,08/09/,FR,40 ,48 ,42 ,38 ,11 ,5,4,"31,617,442.00  ",0  x   ,unbesetzt,3  x   ,"447,913.70  ",5  x   ,"94,852.30  ",23  x   ,"6,873.30  ",433  x   ,328.50  ,740  x   ,149.50  ,"1,292  x   ",73.40  ,"19,972  x   ",24.50  ,"22,446  x   ",21.10  ,"36,136  x   ",18.80  ,"115,484  x   ",10.60  ,"346,250  x   ",8.70
37.,15/09/,FR,47 ,33 ,15 ,22 ,29 ,3,7,"36,264,036.00  ",2  x   ,"15,363,349.60  ",5  x   ,"308,244.30  ",7  x   ,"77,708.60  ",136  x   ,"1,333.20  ",907  x   ,179.90  ,"1,503  x   ",84.40  ,"3,696  x   ",29.40  ,"45,737  x   ",13.90  ,"34,874  x   ",13.90  ,"54,237  x   ",13.90  ,"229,808  x   ",7.00  ,"461,326  x   ",7.00
38.,22/09/,FR,17 ,47 ,36 ,32 ,10 ,5,2,"30,163,226.00  ",0  x   ,unbesetzt,1  x   ,"1,281,937.10  ",3  x   ,"150,816.10  ",36  x   ,"4,189.30  ",512  x   ,265.10  ,917  x   ,115.10  ,"1,796  x   ",50.30  ,"25,119  x   ",18.60  ,"24,200  x   ",18.60  ,"40,257  x   ",16.10  ,"135,059  x   ",8.70  ,"360,034  x   ",8.00
39.,29/09/,FR,15 ,12 ,2 ,44 ,29 ,10,7,"31,532,588.00  ",0  x   ,unbesetzt,3  x   ,"446,711.60  ",5  x   ,"94,597.70  ",32  x   ,"4,926.90  ",601  x   ,236.10  ,"1,196  x   ",92.20  ,"1,268  x   ",74.60  ,"18,348  x   ",26.60  ,"27,358  x   ",17.20  ,"50,929  x   ",13.30  ,"91,817  x   ",13.30  ,"376,301  x   ",8.00
40.,06/10/,FR,28 ,44 ,40 ,17 ,5 ,8,1,"32,798,512.00  ",0  x   ,unbesetzt,1  x   ,"1,393,936.70  ",5  x   ,"98,395.50  ",37  x   ,"4,432.20  ",576  x   ,256.20  ,"1,163  x   ",98.70  ,"1,615  x   ",60.90  ,"23,459  x   ",21.60  ,"26,922  x   ",18.20  ,"48,863  x   ",14.40  ,"125,020  x   ",10.20  ,"385,091  x   ",8.10
41.,13/10/,FR,9 ,44 ,46 ,40 ,43 ,1,8,"38,448,238.00  ",0  x   ,unbesetzt,2  x   ,"817,025.00  ",4  x   ,"144,180.80  ",34  x   ,"5,654.10  ",608  x   ,284.50  ,992  x   ,135.60  ,"1,500  x   ",76.80  ,"25,102  x   ",23.70  ,"25,366  x   ",22.70  ,"44,298  x   ",18.60  ,"138,372  x   ",10.80  ,"385,117  x   ",9.50
42.,20/10/,FR,10 ,25 ,46 ,1 ,49 ,6,1,"40,964,860.00  ",1  x   ,"41,570,496.90  ",4  x   ,"435,251.60  ",6  x   ,"102,412.10  ",42  x   ,"4,876.70  ",742  x   ,248.40  ,"1,283  x   ",111.70  ,"2,129  x   ",57.70  ,"28,549  x   ",22.20  ,"32,337  x   ",19.00  ,"56,500  x   ",15.50  ,"148,659  x   ",10.70  ,"455,860  x   ",8.50
43.,27/10/,FR,23 ,29 ,50 ,2 ,20 ,4,5,"30,351,240.00  ",0  x   ,unbesetzt,1  x   ,"1,289,927.70  ",11  x   ,"41,388.00  ",31  x   ,"4,895.30  ",457  x   ,298.80  ,793  x   ,133.90  ,"1,353  x   ",67.20  ,"20,862  x   ",22.50  ,"23,014  x   ",19.70  ,"38,657  x   ",16.80  ,"113,091  x   ",10.40  ,"356,672  x   ",8.10
44.,03/11/,FR,35 ,2 ,45 ,50 ,44 ,6,7,"31,371,702.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,1  x   ,"470,575.50  ",23  x   ,"6,819.90  ",412  x   ,342.60  ,735  x   ,149.30  ,"1,175  x   ",80.00  ,"18,077  x   ",26.80  ,"20,789  x   ",22.60  ,"35,578  x   ",18.90  ,"103,111  x   ",11.80  ,"333,087  x   ",8.90
45.,10/11/,FR,14 ,17 ,1 ,50 ,24 ,9,8,"33,539,344.00  ",1  x   ,"23,425,613.90  ",3  x   ,"919,573.10  ",2  x   ,"251,545.00  ",37  x   ,"4,532.30  ",543  x   ,277.90  ,984  x   ,119.20  ,"1,298  x   ",77.50  ,"18,551  x   ",28.00  ,"26,045  x   ",19.30  ,"47,705  x   ",15.10  ,"98,770  x   ",13.20  ,"394,313  x   ",8.10
46.,17/11/,FR,4 ,3 ,41 ,47 ,17 ,5,2,"29,486,256.00  ",1  x   ,"10,000,000.00  ",0  x   ,unbesetzt,2  x   ,"221,146.90  ",29  x   ,"5,083.80  ",483  x   ,274.70  ,877  x   ,117.60  ,"1,656  x   ",53.40  ,"25,458  x   ",18.40  ,"23,328  x   ",18.40  ,"40,832  x   ",15.50  ,"133,564  x   ",8.60  ,"360,287  x   ",7.80
47.,24/11/,FR,11 ,22 ,43 ,18 ,16 ,7,8,"28,969,524.00  ",1  x   ,"10,000,000.00  ",2  x   ,"1,242,185.30  ",5  x   ,"86,908.50  ",24  x   ,"6,035.30  ",550  x   ,237.00  ,801  x   ,126.50  ,"1,321  x   ",65.70  ,"19,441  x   ",23.00  ,"26,407  x   ",16.40  ,"40,126  x   ",15.50  ,"101,850  x   ",11.00  ,"389,596  x   ",7.10
48.,01/12/,FR,5 ,29 ,20 ,16 ,30 ,2,7,"29,368,490.00  ",0  x   ,unbesetzt,3  x   ,"416,053.60  ",8  x   ,"55,065.90  ",39  x   ,"3,765.10  ",593  x   ,222.80  ,946  x   ,108.60  ,"1,885  x   ",46.70  ,"26,445  x   ",17.40  ,"24,764  x   ",17.40  ,"40,903  x   ",15.40  ,"141,364  x   ",8.10  ,"356,866  x   ",7.80
49.,08/12/,FR,9 ,20 ,24 ,34 ,15 ,5,1,"30,290,052.00  ",0  x   ,unbesetzt,4  x   ,"321,831.80  ",3  x   ,"151,450.20  ",27  x   ,"5,609.20  ",490  x   ,278.10  ,895  x   ,118.40  ,"1,516  x   ",59.90  ,"21,567  x   ",21.70  ,"23,262  x   ",19.50  ,"41,914  x   ",15.50  ,"113,631  x   ",10.30  ,"350,158  x   ",8.20
50.,15/12/,FR,18 ,12 ,16 ,7 ,1 ,4,1,"32,270,474.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,7  x   ,"69,151.00  ",60  x   ,"2,689.20  ",854  x   ,170.00  ,"1,377  x   ",82.00  ,"1,667  x   ",58.00  ,"23,401  x   ",21.30  ,"32,816  x   ",14.70  ,"56,140  x   ",12.30  ,"112,974  x   ",11.10  ,"431,963  x   ",7.10
51.,22/12/,FR,32 ,16 ,40 ,26 ,47 ,1,6,"37,222,064.00  ",0  x   ,unbesetzt,2  x   ,"1,476,716.40  ",4  x   ,"139,582.70  ",39  x   ,"4,772.00  ",515  x   ,325.20  ,931  x   ,139.90  ,"1,663  x   ",67.10  ,"23,802  x   ",24.20  ,"25,363  x   ",22.00  ,"48,084  x   ",16.60  ,"132,336  x   ",10.90  ,"382,174  x   ",9.30
52.,29/12/,FR,16 ,43 ,40 ,33 ,30 ,2,4,"39,169,456.00  ",0  x   ,unbesetzt,1  x   ,"1,664,701.80  ",2  x   ,"293,770.90  ",43  x   ,"4,554.50  ",595  x   ,296.20  ,976  x   ,140.40  ,"1,739  x   ",67.50  ,"25,800  x   ",23.50  ,"27,901  x   ",21.00  ,"46,663  x   ",18.00  ,"147,178  x   ",10.30  ,"434,405  x   ",8.60